source_id,tweet_id,parent_idx,self_idx,num_parent,max_seq_len,text,veracity
498430783699554305,498430783699554305,None,1,2,25,witness : police allegedly stopped mike brown after yelling at him to walk on sidewalk . #ferguson URL,true
498430783699554305,498430783699554305_1,1,2,2,25,"@MichaelSkolnik cool ! Darkskinned man is a crime element in your village ? ? So , why #obama is alive yet ? ? ?",true
498430783699554305,498430783699554305_2,1,3,2,25,@MichaelSkolnik @Agent_Kindi @Supreme___Power These responses explain why thiskeeps happening . Too many white men hate black men . Sad .,true
498430783699554305,498430783699554305_3,1,4,2,25,@Supreme___Power @MichaelSkolnik You so edgy .,true
500378223977721856,500378223977721856,None,1,2,31,"oh . so now the #ferguson police chief says the cop didn't know about the robbery when he stopped #mikebrown . the kid was "" jaywalking "" ? bs !",true
500378223977721856,500378223977721856_1,1,2,2,31,@rolandsmartin may be prudent to ask clerk if Brown was the one who hit him,true
500378223977721856,500378223977721856_2,1,3,2,31,"@rolandsmartin Because jaywalking and stealing cigars are capital crimes . It's the classic  "" Blame the victim  "" defense .",true
500378223977721856,500378223977721856_3,1,4,2,31,@rolandsmartin SUSPICION of a crime results n DEATH of the unarmed in the #Black comm as a rule . #MichaelBrown #EricGarner #TrayvonMartin,true
500378223977721856,500378223977721856_4,1,5,2,31,"@Jurutha if u watch the tape , he reached over counter , still not grounds to shoot him from behind",true
500378223977721856,500378223977721856_5,1,6,2,31,"@rolandsmartin they've been throwing out one lie after another . And none of it makes sense . How was he  "" prime suspect  "" just minutes after ?",true
500378223977721856,500378223977721856_6,1,7,2,31,"Well , yeah . He had to trash the name of a dead child before providing that little tid bit . @rolandsmartin",true
500378223977721856,500378223977721856_7,1,8,2,31,@rolandsmartin ok so that was mike in the convenience store ?,true
524922729485848576,524922729485848576,None,1,4,33,only photo i will tweet . cpr being performed on the soldier now . i heard four shots . #ottawa URL,true
524922729485848576,524922729485848576_1,1,2,4,33,Reports of gunshots unconfirmed RT @Henderburn : Only photo I will tweet . CPR being performed on the soldier #ottawa $URL$,true
524922729485848576,524922729485848576_2,1,3,4,33,@Henderburn thank you for posting . It may just be hard to tell in the picture but bystanders look quite calm considering gunfire in area .,true
524922729485848576,524922729485848576_3,1,4,4,33,@Henderburn @alimhaider wow . Prayers for the soldier .,true
524922729485848576,524922729485848576_4,1,5,4,33,"@Henderburn Hi Peter , this is Marta , reporter from Demotix . Did you take the photo ? Would be ok for us to use ? Can you send it ? thanks",true
524922729485848576,524922729485848576_5,1,6,4,33,@Henderburn why are there no police ? ?,true
524922729485848576,524922729485848576_6,1,7,4,33,@Henderburn so .. Instead of helping you took a picture for profit ?,true
524922729485848576,524922729485848576_7,1,8,4,33,@Henderburn @nomedeplume84 ... seriously ? ! You're trying to profit from this ? Think about it ...,true
524922729485848576,524922729485848576_8,1,9,4,33,@Henderburn I'm a Photo Editor @ ABC - Would you be willing to share this with all ABC News platforms and with partners if we credit ?,true
524922729485848576,524922729485848576_9,7,10,4,33,"@tdgecas @Henderburn I agree Tyler , have some respect.That man shot is servicing your country and all you want to do is snap a pic.Pity you !",true
524922729485848576,524922729485848576_10,10,11,4,33,@DriesBrent @tdgecas @Henderburn You have a phone ! Did you call for help ? Nope . I took pics to sell and tweeted that I'm on CNN and ABC .,true
524923462398513152,524923462398513152,None,1,2,24,shots fired on parliament hill after a man walked up with a gun . i'm locked in a security office on parliament hill,true
524923462398513152,524923462398513152_1,1,2,2,24,@cmaconthehill Be safe !,true
524923462398513152,524923462398513152_2,1,3,2,24,@cmaconthehill @News1130radio badass ! ! !,true
524923462398513152,524923462398513152_3,1,4,2,24,@cmaconthehill stay safe . Unbelievable,true
