source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
18dmb4,There is a lot of information on the Internet.,Aspartame contains 10 calories per serving.,There is no such thing as too much sugar.,There is a new drug that has been shown in well documented studies.
1d7lzf,There is no correlation between ADHD and reason.,There is no such thing as too much information.,There is a lot of sugar in the world.,There is a difference between allergies and irritants.
1hzz6y,There's a lot of information here.,There is so much wrong with this article,There is no cure for cancer.,There is no evidence that this is the case.
1i8cy7,The article has been filed for deletion.,There are more than a few opinions on this topic.,I don't have the money.,The following is an excerpt from the book.
1i8ljs,"The article is not true, but it can be interpreted as such.",They need a warrant to collect personal information.,It's been a while since I've posted anything.,There are two types of data that the NSA collects.
1jvbd8,The number of bombs dropped during the war was very high.,"If I read this wrong, I will be punished.",The video has an 8 day life span.,There are still issues with radiation in the air.
1uniwn,A friend of mine sent me this link.,They didn't do anything wrong.,It's not a good idea to spend money on education.,The difference between state and federal taxes is about $1.
1x8zke,There is no cure for cancer.,There is no such thing as too much radiation.,There is no cure for cancer.,There is no cure for cancer.
22o24j,"The book ""On the Cost of Learning in War"" by David Grossman is a good source.",It is not true that there is no difference between guns and bullets.,"The term ""assault rifleman"" can be applied to anyone with a rifle.",There is no proof that soldiers fired their weapons.
249p6c,This article is from the archive. Republished with permission.,There is a problem with water.,The body doesn't give a lot of information.,The temperature in the room is lower than normal.
25bvmb,Caffeine is bad for your health.,The benefits of smoking are few and far between.,Smoke is bad for your lungs.,There is no such thing as over-regulation.
31xv6u,A list of facts about dinosaurs.,There is a lot of misinformation on the Internet.,Some of his videos are annoying.,A response to Creationist's question has been posted.
3e7pye,There are many possible causes of cancer.,The damage is caused by the radiation.,It's not the same as it used to be.,There's a lot of radiation in my house.
3xqilx,He didn't start the fire.,It's clear now that there's a problem.,There's a fire on the island.,There is no such thing as too much information.
443938194715713536,Dr. Jørgen.,The Internet is a wonderful thing.,It's hard for her to sleep.,There is no such thing as a natural disaster.
46uw4y,"As far as I can see, there is no difference between the two parties.",The age limit for voting is 18.,The turnout is low among young people.,Young people are not going to vote in the upcoming elections.
46yxoy,How would you like to be deported?,It's a matter of opinion.,(http://www.theguardian.com,"The more you see, the merrier."
498280126254428160,There is no such thing as too much information.,There's a problem with black people.,Michael was visiting his family when he was murdered.,Mike is staying with his grandmother.
498293668655423488,Every 28 hours a black male is killed by police in the United States.,Every 28 hours a black male is killed by police in the United States.,Every 28 hours a black male is killed by police in the United States.,Every 28 hours a black male is killed by police in the United States.
498430783699554305,There are too many black people in the world.,@AC_BOwen and @MichaelSkolnik are talking about #Cleveland,There are over 200 nations in the world.,Michael Skolnik is angry at the police.
498486826269548545,Pat wants to know if there's anything she should do.,The following tweets are from Antonio's account.,The post was retweeted by Antonio.,There's a lot of work to be done.
499366666300846081,There is no need to be taken down.,There is a problem with the photo.,There's a war on for your mind.,There's a war going on in Iraq.
499368931367608320,There are many reasons why people don't like Cly Dethes.,@clydethesly wants to know who did the crime.,@clydethesly wants to know if he's right or wrong.,@clydethesly wants to know if there is any news about Iraq.
499456140044824576,There is a problem with the internet.,There was a man who pointed a gun at Valerian.,There is no such thing as too much information.,There's a lot of people at the party.
499530130487017472,A woman was shot in the head.,A woman was shot in the head.,There is no such thing as racism.,A woman was shot in the head by a man.
499612545909415938,There is no justice in the world.,There is no evidence of a crime.,@larryelder believes that there is no crime in Chicago.,There is no money in black.
49l01s,The Queen doesn't want to leave the EU.,The Queen has the power to stop Brexit.,The Prime Minister is not loyal to the country.,The name of the country was changed from Sweden to England in 1917.
4c7iec,There is a conflict between good and evil.,It's irrelevant what Kubrick said.,There's a lot going on at the moment.,There are many ways in which the author can be wrong.
4dfdvo,The content of this article is subject to change without notice.,Neurotoxins are substances that damage the nervous system.,The link to the article is here.,There is nothing to be afraid of.
4eo2zi,There's nothing new to say here.,It's down to 5 now.,The Internet has changed a lot in the past ten years.,There are problems with radio stations.
4ycnf5,There is a lot of information about Antarctica on google.,"The area around Antarctica has existed for 250,000 years.","The list is too long, but it's worth reading.",There is no such thing as too much information.
500258409988763649,There is no such thing as a free lunch.,The interview with the police was conducted yesterday.,"The name of the game is ""Spike"".",There is no such thing as a free lunch.
500270780832174080,There's a war on for your soul.,They don't have a choice under the law.,There is no such thing as free lunch.,The man who shot and killed Darren is still at large.
500278045597368320,There is no such thing as a free lunch.,Mike is the police officer who shot the man.,The news is coming fast and furious.,Mike Brown is a police officer.
500279160795721728,@DanteB4u and @MsRock4Ever think the cop should have stopped the car.,@DanteB4u and @orangeseahorse think the cop shot at Michael for no reason.,@DanteB4u wants to know why it took so long for the police to solve the case.,"According to Dante B4u, Alasscan's friend confessed to a robbery."
500279189405433858,Mike Brown was profiled on national TV.,The video has been posted by @edeweys.,There's a lot to see in this video.,They are trying to make him look bad.
500280249629036544,CNN has a video of a man being shot by police.,"It's not true, but it could have been.",There's a video of a man lying on the ground.,It's not a good idea to tell people what to do.
500280422295937024,Yamiche has done a great job.,Yamiche is a 6-year-old boy.,Yamiche is on Twitter.,Bobby is a six year veteran.
500280838710247424,"According to Antonio, the suspect is a black man.",Mike Brown is a suspect in a robbery.,Mike Brown is a suspect in a robbery.,There is no proof that Antonio was involved in a robbery.
500281094239817728,It's not always easy to know when you're wrong.,They will let the other one go.,It's a story that continues to unfold.,There's a lot of work to be done.
500281131057811456,Anon wants to know if he should be shot.,Anon wants to know if the police will come to his place.,Anon wants to know if this is true.,The kid is wearing a lot of clothes.
500284699546517505,It's easier to manipulate the video than to read it.,Zellie wants to know if there is any evidence of a robbery.,It takes a lot of time to watch a video.,The video was taken from one of the witnesses.
500286058664579072,Mike was robbed at gunpoint.,@mashable is accusing Mike of murder.,There was a shooting in a convenience store.,@zadiaz is a racist.
500288349924782080,It's a good thing you went to school.,Anon shares a funny story.,The reason is because it's not safe.,Anon wants to know how to change his clothes.
500290456845299714,YourAnonLive is reporting a theft.,@YourAnonLive and @OpFerguson are talking about the same thing.,The conversation on Twitter is heated.,@YourAnonLive has a video of a robbery.
500294803402137600,The suspect was stopped by the police.,There was an alleged robbery involving Michael Brown.,The police are looking for a suspect in a robbery.,There is no reason to shoot him.
500295393301647360,There is no such thing as too much information.,There's a person who makes a lot of noise.,It's been a while since I've been here.,Jesse shares a photo of what he's wearing.
500298588992593920,The guy was wanted for robbery.,The police are looking for a suspect in the case.,Alices Peri is on Twitter.,There is no such thing as a free lunch.
500298752469770240,There was a fight between police and a black man.,@AkaDimiX is calling a 140-year-old a child.,AkaDimiX and Dostoevsky are upset about the arrest of a boy.,@AkaDimiX and @140 don't understand what they are talking about.
500303431928922113,Prison is a place where people don't want to be.,Prison is not a good idea for journalists.,There was a fight on the Internet.,There are a lot of photos on the Internet.
500307001629745152,The police are not releasing the facts about the shooting.,"@jlpauk, @rui_xu, @flavius and @dissuade don't like the way the police handled the case.",He was shot in the chest.,There was a gun shot in the car.
500308076004929537,Anon doesn't give a fuck what anyone says.,There is no excuse for murder.,@YourAnon wants to know if it's true.,Anon is being harassed by the police.
500319675797209088,There is no one left in the world.,There's a problem with the law in St. Louis.,There is no such thing as too much information.,Randy shares his opinion on Facebook.
500319801344929795,The truth is out there and it's a lie.,The Root is against police brutality.,@thedailybeast is on Twitter.,The Internet is full of lies.
500327106824245249,There is no way out of the situation.,It's time to get angry.,There's a lot of people who don't like him.,It was not a good day.
500327120770301952,Zellie wants to know how many people have been arrested for shoplifting.,Zellie is on Twitter.,There's a fight going on in the shop.,There is no such thing as a free lunch.
500332933098385408,There is no evidence to support the claim.,There's a war on for your mind.,There is no such thing as a right or wrong answer.,It's true what they say.
500341884678836224,It's not a good idea to have a gun.,There's nothing funny about it.,There is no proof he didn't do it.,It's not so bad after all.
500347114975944705,A man was robbed and he was shot.,"According to Koszik, a cop shot a man because he was black.",The man in the video is not a cop.,There's a video of a man stealing cigars from a man.
500354773133299713,The police beat a man for bleeding on them.,The police beat up a man.,The police beat up a man in 2009.,The police beat a man and charged him for bleeding.
500363126294863876,There was something leading up to the shooting.,Wonka has been arrested.,Wonka is on Twitter.,Wonka is not a suspect.
500363740311982081,Maxwell wants to know what happened to the girl.,Maxwell is talking about a tape.,Maxwell is disappointed with the way things are going.,Maxwell is not talking about the robbery.
500371149713178625,Black is angry at the police.,Black lady is angry at the police.,Black is angry with the situation in Egypt.,There is a world where people are free of responsibility.
500377145349521411,The little idiot is breaking the law.,@thelittleidiot is an idiot.,The police are going to arrest a man.,The police are going to arrest a man.
500377906305327104,The link is not working properly.,"It's true, he looks like a gorilla.",The police are breaking the law.,There is no such thing as too much information.
500378223977721856,It's a crime to steal.,There was a robbery at a shop.,Juruth is behind the counter.,There was a fight in the store.
500378522788315137,The police are looking for the suspect.,There was a robbery at the airport.,The police shot and killed a man.,"It's not about that, it's about the law."
500381163866062848,The police are looking for a suspect.,There are times when you laugh at yourself.,There is no such thing as too much information.,It's not what you have thought after all.
500389488217309184,Lisa thinks the Chief should be fired.,Lisa wants to know why Mike didn't report the robbery.,Lisa wants to know why the police didn't inform her about the robbery.,Lisa and Leonie are angry at each other.
500391222075076610,The man in the video is probably guilty of theft.,@andybankertv and @lilfer1234 don't believe the testimony of the eyewitness.,The man in the video is a thief.,There was a theft at the store and the owner admitted it.
500394061887709184,Jelani would rather be a thief than a human being.,Jelani has sent a video to the police.,The first goal is to get a conviction.,The tweet is from @jelani.
500413818368184321,The DailyEdge is on WhatsApp.,The DailyEdge is on Instagram.,The Daily Edge is on Twitter.,The Daily Edge is supported by @marstu
521346721226711040,"Michael has contracted Ebola, but it's unconfirmed.","Michael has contracted Ebola, according to Football.",There is a rumour that Michael has contracted Ebola.,@Lobitta is on Twitter.
521360486387175424,There is no cure for Ebola.,Michael has been diagnosed with Ebola.,Michael has been diagnosed with Ebola.,Carlos is on Twitter @carlos.
524922729485848576,Henderburn wants to know why the police didn't come to his place.,Henderburn is looking for a job.,Henderburn is looking for someone to help him.,Dries didn't do anything wrong.
524923293711998976,A soldier has been shot in Ottawa.,@evansolomon is at war.,A soldier has been shot in Ottawa.,@evansolomon is running away from the police.
524923462398513152,@cmaconthe is offline.,There's a fight going on in Canada.,@cmaconthe is happening.,It's OK to be safe.
524923676484177920,There's a war going on.,The Internet is full of criminals.,There's a shooting on Parliament Hill.,There's a fight on Parliament Hill.
524924619812511746,There's a war on for your head.,There's nothing to be afraid of.,There is no such thing as too much information.,There is nothing more we need to say.
524925050739490816,There is no such thing as a free lunch.,There was a shooting at the National War Memorial.,There is no such thing as too much information.,There was a bomb attack in Ottawa on Friday.
524925215235911680,Shots were fired at Parliament Hill.,Shots were fired at Parliament Hill.,The following files are available to download.,The following files are available to download.
524925730053181440,Shots were fired at Ottawa's war memorial.,There was a shooting in Ottawa.,There is no such thing as a free lunch.,There is no right or wrong answer to a question.
524925987239120897,There was a shooting at the National War Memorial.,Vietnam War Memorial Day is tomorrow.,It's time to get back to work.,The following files are available to download.
524926235030589440,People are supposed to be polite.,It was there less then 24 hours ago.,There's a man on the left and a woman on the right.,There is no such thing as too much information.
524926472432410625,There was a shooting at Parliament.,The video is available on YouTube.,There's a war on for your mind.,(http://www.washingtonpost.com/
524927281048080385,@dmatthewmillar wants to know where the snipers are.,@dmatthewmillar and @devo1400 don't have access to social media.,@dmatthewmillar @devo1400 and @spaikin @,@devo1400 and @dmatthewmillar are having a fight.
524929497205055488,The link to this article has been removed.,There was a shooting at a school in Toronto.,There was a shooting on Parliament Hill.,The Internet is a wonderful thing.
524931324763992064,Kris is on the phone.,There is no such thing as free will.,There is no cure for cancer.,There are two sides to every story.
524932056560963584,There is no such thing as too much information.,There is no cure for cancer.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524932935137628160,@kellyoxford is still on the loose.,@kellyoxford and @obiterdictayo are reporting the same thing.,@kellyoxford confirms that the first tweet is true.,@kellyoxford and @daxshepard are correct.
524935485370929152,Hussain is running a twitter account.,People are being radicalised by the media.,There is no media blackout in the US.,@ummsalama is a twitter account used by Muslims.
524936793633083394,Mark is safe and in the room.,Mark's thoughts are with you.,@mattdpearce sends a message to the world.,The Law of Attraction works for me.
524936872666353664,Shots were fired off Parliament Hill.,There was a shooting off Parliament Hill.,There's a fight going on in Canada.,There was a shooting in Quebec.
524937542131793920,Rideau is closed until further notice.,There was a shooting near the Centre.,Rideau shares his views on politics.,There's nothing to be afraid of.
524940659778920448,There's a shooter on the loose.,There is a gunman on the loose.,The writer is a freelance journalist.,There is no such thing as too much respect.
524941132237910016,There's a lot of noise inside the building.,It's ok to follow someone on Twitter.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524941720249978880,There was an exchange of gunfire on Parliament Hill.,There was an exchange of gunfire on Parliament Hill.,@globeandmail is on the air.,@ericabecks and @globeandmail think it's a joke.
524942470472548352,HuffPost is on Facebook.,"The University of Ottawa is located in Ottawa, Ontario, Canada.",The journey is about 1.5 km.,(http://www.washingtonpost.com/
524943490887991296,There was a shooting at Parliament Hill.,There was a shooting at Parliament Hill.,A man has been shot dead in Ottawa.,There is more than one shooter in Ottawa.
524944399890124801,There was a shooting at Parliament.,There is a tragedy happening in Canada.,There is nothing wrong with what they are saying.,There's a lot of hate on Twitter.
524947416869388288,There is no such thing as too much information.,There is no such thing as too much information.,There will be a third shooter.,(http://www.washingtonpost.com/
524947674164760577,Dave is being treated at CTV.,Dave is not sure if he is dead or alive.,There was a shooting in Ottawa.,Dave Beninger is on Twitter.
524947867975561216,There is a suspect on the loose in Ottawa.,The police are on the scene.,There was an attack on a church in Ottawa.,The issue is whether it's an isolated incident or an attack.
524948206023880704,There was a shooting at Ottawa's Parliament.,A soldier has been shot in Ottawa.,Two people were shot at the airport.,There was an attack on CBC.
524948866773184512,Sebastian is from Ottawa.,There's a lot of stuff going on inside the building.,There's a lot of work to be done.,(http://www.washingtonpost.com/
524949443607412737,There was a shooting at Rideau Centre.,There are hundreds of shootings happening every day.,There was a shooting at Rideau Centre.,There is no such thing as too much information.
524952883343925249,There was a shooting inside Canada's parliament.,There was a shooting in Ottawa.,The BBC is broadcasting live from inside Canada's parliament.,King is angry at BBC for breaking his news.
524956129017995264,The BBC is reporting on a terrorist attack in Ottawa.,The BBC broke the news about the shooting in Ottawa.,The BBC is breaking the news.,There is a war on in Syria.
524959809402331137,@cnnbrk is in Ottawa.,The Canadian government has informed that one of the shooters is dead.,There is no need to be in English at this time.,There is no proof yet that the shooter is a Canadian citizen.
524961721744900097,The Canadian soldier has been killed.,A soldier has been shot in Ottawa.,A soldier has died at Ottawa's war memorial.,"According to Twitter, a man has died."
524962142563610625,"On Twitter, @CBCNews reports.",There is no such thing as free will.,A soldier was shot in Ottawa.,The following files are available to download.
524964948683005952,Justin Trudeau is accusing CBC of being biased against Muslims.,Justin and Daryus are critical of the CBC.,Azad and Justin are critical of Canada's foreign policy.,Justin Trudeau is not a good leader.
524965775036387329,There's nothing good for Vickers.,Friedrich is from Germany.,The real hero is the person who is doing his job.,The following is a transcript of an interview.
524966904885428226,The following files are available to download.,The following files are available to download.,There is no such thing as too much information.,There is no such thing as too much information.
524969201102901248,There was a shooting on Parliament Hill.,The good guy with a gun saved many lives.,He is a good man.,It's time for Canada to start making new laws.
524970851675176960,The Internet is a tool of the state.,The writer is a freelance journalist.,There is no such thing as too much information.,There is no such thing as too much information.
524972443308683264,@amym@gmail.com,There's a lot happening in Canada right now.,There was a shooting at Parliament.,The car was hit by a rock.
524975705206304769,The game has been postponed until tomorrow.,The game was cancelled due to bad weather.,There is a problem with the Internet.,It's not a good idea to judge people by their looks.
524980744658382848,The CBC is on Twitter @CBC.,The following files are available to download.,The people's prayers are with their leaders.,Friedge is looking for a job.
524981436252950528,There's nothing to worry about.,This is what is happening in Ottawa today.,The following files are available to download.,On Twitter @Rickevins
524983581983375360,There is no cure for cancer.,There was a shooting at the Parliament Hill.,Askew shares his experiences with Ebola.,There is no such thing as a free lunch.
