source_id,cluster_id,tweet_ids,centroid
498430783699554305,0,498430783699554305_3,498430783699554305_3
498430783699554305,1,498430783699554305_3,498430783699554305_3
498430783699554305,2,498430783699554305_1,498430783699554305_1
500378223977721856,0,"500378223977721856_7,500378223977721856_1,500378223977721856_6",500378223977721856_7
500378223977721856,1,"500378223977721856_4,500378223977721856_3,500378223977721856_5",500378223977721856_5
500378223977721856,2,"500378223977721856_2,500378223977721856_4,500378223977721856_5",500378223977721856_2
524922729485848576,0,"524922729485848576_1,524922729485848576_10,524922729485848576_7,524922729485848576_3",524922729485848576_3
524922729485848576,1,"524922729485848576_5,524922729485848576_6,524922729485848576_2,524922729485848576_8",524922729485848576_6
524922729485848576,2,"524922729485848576_9,524922729485848576_10,524922729485848576_4,524922729485848576_3",524922729485848576_10
524923462398513152,0,"524923462398513152_4,524923462398513152_6,524923462398513152_3",524923462398513152_3
524923462398513152,1,"524923462398513152_1,524923462398513152_7,524923462398513152_2",524923462398513152_7
524923462398513152,2,"524923462398513152_4,524923462398513152_5,524923462398513152_2",524923462398513152_5
524923676484177920,0,"524923676484177920_1,524923676484177920_2,524923676484177920_6",524923676484177920_6
524923676484177920,1,"524923676484177920_5,524923676484177920_7,524923676484177920_4",524923676484177920_5
524923676484177920,2,"524923676484177920_3,524923676484177920_7,524923676484177920_4",524923676484177920_3
524925050739490816,0,"524925050739490816_1,524925050739490816_8,524925050739490816_2",524925050739490816_2
524925050739490816,1,"524925050739490816_1,524925050739490816_8,524925050739490816_7",524925050739490816_7
524925050739490816,2,"524925050739490816_5,524925050739490816_9,524925050739490816_4",524925050739490816_5
524925215235911680,0,"524925215235911680_1,524925215235911680_10,524925215235911680_12,524925215235911680_14,524925215235911680_6",524925215235911680_10
524925215235911680,1,"524925215235911680_1,524925215235911680_10,524925215235911680_12,524925215235911680_14,524925215235911680_13",524925215235911680_10
524925215235911680,2,"524925215235911680_4,524925215235911680_8,524925215235911680_15,524925215235911680_9,524925215235911680_7",524925215235911680_8
524925987239120897,0,"524925987239120897_2,524925987239120897_4",524925987239120897_2
524925987239120897,1,"524925987239120897_1,524925987239120897_4",524925987239120897_1
524925987239120897,2,"524925987239120897_3,524925987239120897_4",524925987239120897_4
524926235030589440,0,"524926235030589440_2,524926235030589440_3",524926235030589440_2
524926235030589440,1,"524926235030589440_3,524926235030589440_4",524926235030589440_4
524926235030589440,2,"524926235030589440_1,524926235030589440_2",524926235030589440_1
524931324763992064,0,"524931324763992064_1,524931324763992064_4",524931324763992064_4
524931324763992064,1,"524931324763992064_3,524931324763992064_4",524931324763992064_4
524931324763992064,2,"524931324763992064_3,524931324763992064_2",524931324763992064_3
524932935137628160,0,"524932935137628160_6,524932935137628160_9,524932935137628160_5",524932935137628160_6
524932935137628160,1,"524932935137628160_9,524932935137628160_6,524932935137628160_5",524932935137628160_6
524932935137628160,2,"524932935137628160_2,524932935137628160_7,524932935137628160_1",524932935137628160_2
524935485370929152,0,524935485370929152_2,524935485370929152_2
524935485370929152,1,524935485370929152_2,524935485370929152_2
524935485370929152,2,524935485370929152_1,524935485370929152_1
524936872666353664,0,"524936872666353664_12,524936872666353664_6,524936872666353664_4,524936872666353664_11",524936872666353664_12
524936872666353664,1,"524936872666353664_12,524936872666353664_1,524936872666353664_11,524936872666353664_4",524936872666353664_12
524936872666353664,2,"524936872666353664_5,524936872666353664_9,524936872666353664_8,524936872666353664_10",524936872666353664_8
524941132237910016,0,524941132237910016_2,524941132237910016_2
524941132237910016,1,524941132237910016_1,524941132237910016_1
524941132237910016,2,524941132237910016_2,524941132237910016_2
524942470472548352,0,524942470472548352_2,524942470472548352_2
524942470472548352,1,524942470472548352_2,524942470472548352_2
524942470472548352,2,524942470472548352_1,524942470472548352_1
524943490887991296,0,"524943490887991296_6,524943490887991296_2",524943490887991296_6
524943490887991296,1,"524943490887991296_5,524943490887991296_1",524943490887991296_1
524943490887991296,2,"524943490887991296_3,524943490887991296_6",524943490887991296_6
524944399890124801,0,"524944399890124801_2,524944399890124801_5",524944399890124801_5
524944399890124801,1,"524944399890124801_5,524944399890124801_4",524944399890124801_4
524944399890124801,2,"524944399890124801_1,524944399890124801_3",524944399890124801_1
524947674164760577,0,"524947674164760577_8,524947674164760577_7,524947674164760577_9,524947674164760577_2",524947674164760577_8
524947674164760577,1,"524947674164760577_8,524947674164760577_7,524947674164760577_9,524947674164760577_2",524947674164760577_8
524947674164760577,2,"524947674164760577_1,524947674164760577_3,524947674164760577_6,524947674164760577_4",524947674164760577_4
524952883343925249,0,"524952883343925249_8,524952883343925249_1,524952883343925249_6,524952883343925249_3",524952883343925249_8
524952883343925249,1,"524952883343925249_2,524952883343925249_11,524952883343925249_12,524952883343925249_9",524952883343925249_2
524952883343925249,2,"524952883343925249_8,524952883343925249_2,524952883343925249_4,524952883343925249_3",524952883343925249_2
524959809402331137,0,"524959809402331137_10,524959809402331137_8,524959809402331137_9,524959809402331137_12",524959809402331137_9
524959809402331137,1,"524959809402331137_5,524959809402331137_4,524959809402331137_6,524959809402331137_3",524959809402331137_3
524959809402331137,2,"524959809402331137_2,524959809402331137_12,524959809402331137_9,524959809402331137_10",524959809402331137_2
524962142563610625,0,"524962142563610625_1,524962142563610625_4",524962142563610625_1
524962142563610625,1,"524962142563610625_1,524962142563610625_4",524962142563610625_1
524962142563610625,2,"524962142563610625_3,524962142563610625_2",524962142563610625_2
524965775036387329,0,524965775036387329_2,524965775036387329_2
524965775036387329,1,524965775036387329_3,524965775036387329_3
524965775036387329,2,524965775036387329_2,524965775036387329_2
524966904885428226,0,"524966904885428226_1,524966904885428226_2",524966904885428226_2
524966904885428226,1,"524966904885428226_1,524966904885428226_4",524966904885428226_1
524966904885428226,2,"524966904885428226_3,524966904885428226_4",524966904885428226_3
524969201102901248,0,"524969201102901248_5,524969201102901248_4,524969201102901248_3,524969201102901248_2",524969201102901248_3
524969201102901248,1,"524969201102901248_9,524969201102901248_12,524969201102901248_8,524969201102901248_6",524969201102901248_6
524969201102901248,2,"524969201102901248_10,524969201102901248_7,524969201102901248_11,524969201102901248_3",524969201102901248_10
