source_id,support summary,deny summary,query summary,comment summary
18dmb4,,,,"As part of our series on food and health, we are looking at the effects of sugar on the human body."
1d7lzf,,,,"A lot of people have been talking about the link between food dyes and anorexia, so I thought I'd give you some examples."
1hzz6y,,,A look back at some of the most memorable stories from the BBC News website over the past year.,There's a lot of debate about whether or not it's a good idea to give people the chance to grow their own hair.
1i8cy7,,,,The BBC has published a list of the world's best-selling books of the past year.
1i8ljs,,A look at some of the most interesting stories in the news over the past 24 hours.,The BBC has been granted permission to run an investigation into the BBC's coverage of the Manchester Arena attack.,The New York Times reports that the US National Security Agency (NSA) does not need a court order to access a person's phone records.
1jvbd8,,,,"I'm not sure if this is a good thing or a bad thing, but here's a look at some of the things you might have missed."
1uniwn,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past week.,"There's a lot of talk about tax cuts for the rich, but how much do they actually cost the rest of us?"
1x8zke,A look back at some of the most memorable moments from this year's Paralympics.,,,A look back at some of the most memorable stories from the BBC News website over the past year.
22o24j,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,"This is a very good question, and one I've been asked a lot.",A look back at some of the most memorable moments from the Battle of the Somme.,"This is a good question, and one I have been asked many times."
249p6c,,"Scientists at the University of California, Berkeley, say they have found no evidence that microwave radiation is harmful to human health.",A look at some of the most eye-catching images from the BBC News website over the weekend.,A look at some of the more interesting stories from the BBC News website over the past week.
25bvmb,A look back at some of the most memorable stories from the BBC News website over the past year.,,,This is the story of a man's battle with nicotine addiction.
31xv6u,I'm not sure I've ever seen anything quite like it.,A selection of the best quotes from the BBC News website over the past week.,,"This is a good question, and one I've been asked a number of times."
3e7pye,A look at some of the most eye-catching images from the BBC News website this week.,,,"I've been reading up on the effects of radiation on plants, and I've come up with some interesting results."
3xqilx,,,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.
443938194715713536,,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the best tweets from the BBC News website over the past week.
46uw4y,A look at some of the key stories in the news over the past week.,The question of whether 16-year-olds should be allowed to vote in the general election has been debated in the House of Commons.,A look at some of the key stories of the week in politics.,I've been trying to work out how many people in their 40s and 50s are likely to vote in the general election.
46yxoy,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the key stories in the news over the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.
498280126254428160,A look back at some of the most memorable stories from the BBC News website over the past year.,,,Tributes have been paid to the victims of the Manchester Arena attack.
498293668655423488,"The hashtag #Ferguson has been trending on Twitter in the United States after a black man was shot dead by a white police officer in Ferguson, Missouri.",,"The number of black men killed by police in the United States has reached a record high, according to new figures obtained by the BBC.","Michael Skolnik, a former police officer and member of the Black Lives Matter movement, has spoken out against the killing of black men by police in Ferguson, Missouri."
498430783699554305,A man has been arrested on suspicion of assaulting a police officer in the US state of California.,,,A Twitter user called Michael Skolnik asked why President Barack Obama is still alive.
498486826269548545,A look back at some of the most memorable stories from the BBC News Channel in the past year.,People have been using social media to criticise the government's handling of the Brexit vote.,A look back at some of the most retweeted stories of the year so far.,"The BBC has been given permission by the French government to run a series of videos on social media, and here are some of the highlights."
499366666300846081,,A look back at some of the best stories from the BBC News website over the past week.,A look back at some of the top stories of the past week.,"Police in Ferguson, Missouri, have used tear gas and water cannon to disperse anti-government protesters."
499368931367608320,Twitter users have been giving their views on the UK government's handling of the Brexit vote.,A look back at some of the key stories in the news over the past week.,A look at some of the top stories on social media over the past 24 hours.,"Following the shooting of unarmed black man Michael Brown by a white police officer in Ferguson, Missouri, people have been reacting on social media."
499456140044824576,,,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A man has been arrested on suspicion of attempted murder after a man was shot and killed in a shooting at a car park in south-west London.
499530130487017472,"A woman has been shot in the head in what appears to have been a drive-by shooting in Ferguson, Missouri.",,A look at some of the key stories in the news over the past 24 hours.,Twitter users have been reacting to a photograph of a black woman being shot in the head by a police officer in the Czech Republic.
499612545909415938,A look back at some of the best tweets from the BBC News Channel over the past week.,Twitter users have been reacting to the news that a man has been charged in connection with the death of a woman in a car crash in California.,A look back at some of the best tweets from the BBC News website over the past week.,"People on social media have been reacting to the killing of unarmed black man Michael Brown by police in Ferguson, Missouri."
49l01s,,A look back at some of the most memorable stories from the BBC News website over the past year.,,A look at some of the key stories from the week in British politics.
4c7iec,,,A look back at some of the most memorable moments in the history of BBC Radio 4's Today programme.,"In our series of letters from British journalists, film-maker and columnist Susan Blackmore takes a look at some of her favourite quotes."
4dfdvo,,A look back at some of the most memorable stories from the BBC News website over the past year.,,An article in the Lancet about the dangers of fluoride in drinking water has been widely shared on social media.
4eo2zi,The BBC has been granted permission to broadcast live on BBC Radio 5 live and BBC Radio 4 live sports extra.,,A look at some of the key stories in the news over the past week.,This is a pretty good analysis of what's going on in the media in the US.
4ycnf5,,,,"I'm not sure if this is real or not, but this is what I've got so far."
500258409988763649,A look at some of the key stories in the news over the past 24 hours.,,A look at some of the key stories in the news over the past week.,The BBC's Victoria Derbyshire has been talking to the chief constable of Northamptonshire.
500270780832174080,A look at some of the most eye-catching images from the BBC News website over the past week.,,A look at some of the key stories in the news over the past 24 hours.,"Twitter users have been reacting to the decision by the US Department of Justice (DOJ) to issue a temporary restraining order against Ferguson, Missouri police officer Darren Wilson."
500278045597368320,"The man who shot and killed unarmed black man Michael Brown in Ferguson, Missouri, has been charged with second-degree murder.",,A look at some of the stories you might have missed this week.,Twitter users have been giving their reaction to the arrest of US police officer Darren Wilson on suspicion of attempted murder.
500279160795721728,"Twitter users have been giving their reaction to the arrest of Michael Brown by police in Ferguson, Missouri.",,Police have released CCTV images of a man they want to speak to in connection with an armed robbery at a convenience store.,"Twitter users have been giving their reaction to the police shooting of Michael Brown in Ferguson, Missouri."
500279189405433858,A look back at some of the most memorable moments from the BBC News Channel in recent years.,A look back at some of the most memorable stories from the BBC News Channel in recent years.,,Twitter users have been giving their reaction to the news that a man has been shot dead by police in the US state of Florida.
500280249629036544,,,A man has been arrested on suspicion of attempted murder after a man was shot in the head outside a supermarket in north-west London.,"People on social media have been reacting to a report that a police officer shot and killed an unarmed black man in Ferguson, Missouri."
500280422295937024,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,A look back at some of the most memorable tweets from the BBC News Channel over the past week.,The BBC's Yamiche has been praised on social media for his coverage of the Manchester Arena attack.
500280838710247424,A man has been arrested on suspicion of murder after a man was shot dead outside a bar in north Belfast.,"Dianne Ziegler, a former member of the House of Lords, has been described as ""a bit of a moron"" on Twitter.",A man has been arrested on suspicion of assaulting a police officer in the US state of California.,"A man who was shot dead by police in Ferguson, Missouri, has been described as a ""strong-armed"" suspect."
500281094239817728,,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable moments in the history of the BBC News Channel.
500281131057811456,A look back at some of the most memorable moments from this year's Brit Awards.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the most memorable stories from the BBC News website over the past year.,A man has been arrested on suspicion of assaulting a police officer in the US state of Florida.
500284699546517505,Police have released CCTV images of a man they say was involved in an attack on a bus in which a woman was killed.,A look back at some of the most eye-catching images from the BBC News website over the past week.,A look back at some of the most memorable moments from the 2016 Paralympic Games in Rio.,A man has been arrested on suspicion of assaulting a woman at a shopping centre in London.
500286058664579072,A look back at some of the best tweets from the BBC News Channel over the past week.,A man has been arrested on suspicion of attempted murder after a video emerged appearing to show a man holding a gun to the head of another man.,A look at some of the tweets you might have missed in the past 24 hours.,"Twitter users have been reacting to the arrest of a black man by police in Ferguson, Missouri."
500288349924782080,Twitter users have been giving us their views on whether a man wearing a hat on his head is a man or woman.,A look at some of the key stories in the news over the past 24 hours.,,A man has been arrested on suspicion of assaulting a woman at a shopping centre in the US state of California.
500290456845299714,Twitter users have been giving their views on the US presidential election in the comments section of this article.,A look at some of the key stories in the news over the past 24 hours.,A look at some of the tweets you may have missed over the weekend.,Police have released CCTV images of two men they want to question in connection with the theft of a cash machine from a London jewellery shop.
500294803402137600,A look back at some of the most memorable stories from the BBC News website over the past year.,A look back at some of the top stories of the week in British sport.,A look back at some of the most memorable moments in the history of the BBC News Channel.,"Police in Ferguson, Missouri have released photos of a man they say was shot and killed during an alleged robbery."
500295393301647360,,,A look back at some of the best tweets from the BBC News Channel over the past week.,Twitter users have been sharing their reaction to the news that a man has been arrested on suspicion of rape in the US state of California.
500298588992593920,,,A look back at some of the most memorable stories from the BBC News website over the past year.,Police are investigating the death of an 18-year-old man who was stabbed during a robbery at a convenience store in Johannesburg.
500298752469770240,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,A look at some of the tweets from the BBC's political correspondents over the past week.,A look back at some of the most memorable stories from the BBC News website over the past year.,An 18-year-old black man has been arrested on suspicion of assaulting a white police officer in New York.
500303431928922113,Twitter users have been reacting to the news that a man has been arrested on suspicion of murder in the US state of Florida.,A look at some of the key stories in the news over the past 24 hours.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,Prisonplanet.com has been inundated with tweets about the riot in Londonderry on Friday night.
500307001629745152,A look at some of the Twitter reactions to the news that a man has died after being shot in the head by police in Lithuania.,Twitter users have been giving their views on the UK government's handling of the Brexit vote.,"A man has been arrested on suspicion of attempted murder after a man was shot dead outside a bar in the Lithuanian capital, Tallinn.",People on social media have been reacting to the news that a man has been arrested in connection with the fatal shooting of a man in New York.
500308076004929537,,A man has been arrested on suspicion of murder after a man was found with a gun in the back garden of a house in south-west London.,The BBC has been granted permission to broadcast live commentary on BBC Radio 4's Today programme from 7.30am on Thursday.,A man has been arrested on suspicion of assaulting an off-duty police officer during a robbery at a convenience store in north London.
500319675797209088,The BBC has been granted permission to broadcast live commentary from the BBC Sport website on BBC Radio 4's Today programme.,A look back at some of the most memorable stories from the BBC News website over the past year.,A look at some of the key stories in the news over the past 24 hours.,The BBC has been given permission to broadcast live commentary on BBC Radio 4's Today programme from 7.30am on Thursday.
500319801344929795,"Twitter users have been reacting to the killing of unarmed black man Freddie Gray by police in Ferguson, Missouri.",A look back at some of the most memorable stories from the BBC News website over the past year.,,A man has been arrested on suspicion of raping a woman at a park in the US state of California.
500327106824245249,,,,Twitter users have been giving their reaction to Darren Wilson's decision to step down as Scotland's prime minister.
500327120770301952,A look back at some of the most memorable moments from this year's Golden Globes.,A look back at some of the most memorable stories from the BBC News website over the past 12 months.,,"Actor Zellieimani, best known for his role in the TV series Downton Abbey, has been arrested for shoplifting."
500332933098385408,A look back at some of the best tweets from the BBC News Channel over the past week.,A man has been arrested on suspicion of assaulting a police officer.,,Twitter users have been reacting to the news that a man has been arrested on suspicion of raping a 15-year-old girl.
