source_id,support summary,deny summary,query summary,comment summary
18dmb4,,,,There is a picture of an ant in the bottom right corner of Wikipedia.
1d7lzf,,,,There is no link between attention-deficit hyperactivity disorder and food dyes.
1hzz6y,,,There is no cure for cancer.,There's a lot of information in the article.
1i8cy7,,,,The company has filed for bankruptcy.
1i8ljs,,It's not necessary to collect personal information.,The police are looking for someone.,The Justice Department doesn't need a warrant to collect personal data.
1jvbd8,,,,Fukushima is still in the clean-up.
1uniwn,,They didn't pay attention to the law.,It's time to pay attention to the details.,The tax on education in the US is $1.2.
1x8zke,It's not a good idea.,,,The use of nuclear weapons is dangerous.
22o24j,The link to the article is not available.,"This claim is based on the book ""The Psychological Cost of Learning in War and Society"".",There are no records of the number of soldiers.,"There was a lot of explosions and confusions during WW2, according to Marshall."
249p6c,,"According to Snopes, microwaved water is not harmful.",The results were not what she wanted.,The water used in the experiment is not necessary.
25bvmb,It's not a good idea to drink alcohol.,,,The nicotine in cigarettes is harmful to health.
31xv6u,I haven't seen the video yet.,I don't have the energy.,,Aaron has sent a link to a creationist article.
3e7pye,It's not a good idea.,,,Fasciation is caused by radiation.
3xqilx,,,,He didn't start the fire.
443938194715713536,,,There is no such thing as 'no such thing'.,#sleepdoctor @instapundit tells #sleepdoctor to name a natural disaster after her.
46uw4y,It's the end of the second year.,The young are not as important as the old.,The party is going to meet.,There is no change in older voting for Labour since Jeremy Corbyn was elected.
46yxoy,,"The more you know, the better.",It's time to get rid of it.,It's time to get the results.
498280126254428160,Michael is staying with his grandmother.,,,Michael Skolnik was murdered.
498293668655423488,Every 28 hours a black male is killed by the police in the United States by police or vigilantes.,,Michael Skolnik has a link to the data on arrest-related deaths.,Every 28 hours a black male is killed in the United States by police or vigilantes.
498430783699554305,Michael tells #Cleveland to stop yelling at Michael.,,,Michael Skolnik and MichaelSkolnik are talking about Obama.
498486826269548545,There are no comments on this article.,Pat and others need to stop lying.,Pat wants to talk to Leticia.,#QuadCity has a lot of short videos.
499366666300846081,,It's not a good idea.,The photo is from last night.,#Ferguson is a no-fly zone.
499368931367608320,"#Clyde wants to talk to someone on Twitter, but it's too late.",The author of the article is #fergus.,#FoxNews has no information on #Clyde.,#Clydethesly asks #Ferguson to release the name of the man accused of killing a black girl.
499456140044824576,,,There will be an interview with the police.,Valerie is grateful to the police for informing her about the man who pointed a gun at her.
499530130487017472,A woman in Ferguson was shot in the head last night.,,Chappelle is not available.,A woman in Ferguson was shot in head last night. Michael Skolnik shares a photo of it on Twitter.
499612545909415938,It's not a good idea.,#Larryelder thinks it's a big deal for cops to kill.,The investigation is still going on.,#Larryelder and #Tupac are talking about the murder of black men by police.
49l01s,,#1: #2: #1.,,The Queen has been hailed as a backer of Brexit.
4c7iec,,,It's not a good idea.,Frewin doesn't see a conflict between the star child and the alien. The two are not mutually exclusive.
4dfdvo,,I don't want to talk about it.,,Fluoride is classed as a Neurotoxin in the UK.
4eo2zi,It's not a good idea.,,There is no such thing as 'what is there'.,There's a lot of information about media control.
4ycnf5,,,,There's a lot of information on the internet about the origin of the Earth.
500258409988763649,The price of #Fergie is expected to rise.,,The police are looking for a suspect.,#USATODAY asks #Ferguson to release the name of the officer.
500270780832174080,A video of a man being shot by the police.,,The man in question is a man.,#Ferguson has a plan to release it.
500278045597368320,Michael Wilson is the police officer who shot Mike Brown.,,It's the right thing to do.,Micheal Brown was a criminal.
