source_id,all summary
498430783699554305,A man was stopped by the police.
500378223977721856,The police are looking for a suspect.
524922729485848576,Henderburn sent a photo of a man being shot.
524923462398513152,@cmaconthehill is safe.
524923676484177920,There is a shooting on Parliament Hill.
524925050739490816,A soldier was shot at the National War Memorial in Ottawa.
524925215235911680,Shots were fired at Parliament Hill.
524925987239120897,There was a shooting at the National War Memorial in Ottawa.
524926235030589440,There was a shooting at the memorial.
524931324763992064,A man has been killed on Parliament Hill.
524932935137628160,A man has been shot in Canada.
524935485370929152,There was a shooting in Canadian.
524936872666353664,Shots were fired off Parliament Hill. Police are telling everyone to take cover.
524941132237910016,There was a shooting inside the parliament.
524942470472548352,The University of Ottawa is just a five minute walk away.
524943490887991296,There was a shooting at Parliament Hill.
524944399890124801,There was a shooting at Parliament.
524947674164760577,Dave Beninger reports that a soldier has died.
524952883343925249,There was a shooting inside Canada's parliament.
524959809402331137,One person has been shot dead in Ottawa.
524962142563610625,A soldier was shot in Ottawa.
524965775036387329,Linda shares a link to a video of a man being shot.
524966904885428226,There was a shooting at Parliament in Ottawa.
524969201102901248,The sergeant-at-arms saved lives in Parliament Hill.
524975705206304769,The game between Ottawa and Toronto has been called off due to the shooting.
524980744658382848,The CBC is going to hold a news conference at 2 pm.
524995771587108864,The flag is flying at half-mast.
525019752507658240,@ArmedResearch is looking for the source of the photo.
525023025792835585,A soldier was killed at war memorial.
525025279803424768,Nathan was shot and killed.
525025463648137216,The body of a soldier has been found.
525028734991343617,The authorities have provided us with the following information.
525049639016615937,Mauler died of a heart attack.
525056576038518785,A young man was shot and killed in Canada.
525058976376193024,My thoughts and prayers go out to the family of a soldier who passed away.
525060425184858112,A soldier was shot and killed.
525068915068923904,The following files are available to download.
544268732046913536,A siege is taking place at Sydney's cafe.
544269749405097984,The situation is unfolding in Sydney's Martin Place.
544271284796784640,A man is being held against his will.
544271362022338560,There's a fight going on in the church.
544274934835707905,People are being held hostage at a BBC station.
544277117039837184,There is no need to hide the fact that there is a terrorist attack in Syria.
544278335455776769,Islamic flag is being held up inside a cafe in Sydney.
544278985249550337,The live streaming on Myscott's website is not working.
544282005941530624,There are no restrictions on Muslims in Australia.
544282227035869184,Gunmen took hostages at Sydney cafe.
544283772569788416,Siege in Sydney is going on.
