source_id,all_0 summary,all_1 summary,all_2 summary,all_3 summary
498430783699554305,There is no such thing as a happy ending.,There are too many black people in the world.,There is no such thing as too much information.,(http://www.washingtonpost.com/
500378223977721856,It's not a good idea to ask someone for help.,Juruth wants to know if it's ok to kill people.,It's the name of the game.,There is no such thing as a free lunch.
524922729485848576,There's a lot of noise in the area.,It's not a good idea to take a picture.,Hender is a writer and editor.,The only thing I want to do is have some respect.
524923462398513152,@cmaconthe is on Twitter.,There is no such thing as too much information.,It's good to be safe.,It's cold outside. It's warm inside.
524923676484177920,The world is full of criminals.,There's a shooting on Parliament Hill.,There's a fight on Parliament Hill.,There's a fight on Parliament Hill.
524925050739490816,There is no such thing as a free lunch.,A soldier is shot at National War Memorial in Ottawa.,There is no such thing as too much information.,There's a fight going on in Ottawa.
524925215235911680,The following files are available to download.,Shots were fired at Parliament.,The following files are available to download.,The following files are available to download.
524925987239120897,There was a shooting at the National War Memorial.,Vietnam War Memorial Day is tomorrow.,It's time to get back to work.,The following files are available to download.
524926235030589440,The following files are available to download.,It was there less then 24 hours ago.,There's a man on the left and a woman on the right.,There is no such thing as too much information.
524931324763992064,Sutcliffe has been killed.,What are you waiting for today?,There are two sides to every story.,Sutcliffe has been killed.
524932935137628160,Theresa is still on the loose.,There's a guy on the bus.,There is no news at the moment.,There's a lot to learn from Twitter.
524935485370929152,Sophia is running a blog.,The conversation is open to everyone.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524936872666353664,Shots were fired off Parliament Hill.,Shots were fired off Parliament Hill.,Shots were fired off Parliament Hill.,There were shots fired just off Parliament Hill.
524941132237910016,There's a lot of noise inside the building.,It's ok to follow someone on Twitter.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524942470472548352,HuffPost is on Facebook.,"The University of Ottawa is located in Ottawa, Ontario, Canada.",(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
524943490887991296,There was a shooting at Parliament Hill.,There is more than one shooter in Ottawa.,There was a shooting at Parliament Hill.,A man has been shot dead in Ottawa.
524944399890124801,There is no such thing as a free lunch.,There are some people who don't believe in God.,There is a man on the loose.,There is no such thing as too much information.
524947674164760577,Beninger is on CTV.,Dave is being treated and is fine.,There are no more incidents at the moment.,Reid is a freelance journalist.
524952883343925249,The video is from BBC News.,There was a shooting in Ottawa.,The video is from BBC's website.,The following files are available under the CC-BY-NC-3.
524959809402331137,@cnnbrk is hosting a fundraiser.,@cnn.com,The situation in Ottawa is very bad.,There is no need to be in English at this time.
524962142563610625,"According to the BBC, it's",There is no such thing as free will.,A soldier was shot in Ottawa.,The following files are available to download.
524965775036387329,There's nothing good for Vickers.,Friedrich is from Germany.,There is no cure for cancer.,(http://www.washingtonpost.com/
524966904885428226,The best is yet to come.,On Twitter @IAfranjeet,There is a link to this article.,The following files are available to download.
524969201102901248,There was a shooting on Parliament Hill.,There is no such thing as too much information.,There is no need to be afraid.,There's a lot of work to be done.
524975705206304769,The game between Ottawa and Toronto has been cancelled.,There is no such thing as too much information.,The game is cancelled due to bad weather.,There is no such thing as a right thing to do.
524980744658382848,There is no such thing as too much information.,It's been confirmed that it's true.,It's all over now.,The conversation is still going on.
524995771587108864,Savage shares his views on politics.,It's time to hug your loved ones.,(http://www.washingtonpost.com/,(http://www.washingtonpost.com/
525019752507658240,Armed and dangerous people are dangerous people.,Armed with information from the Internet.,The source of the photo is unknown.,There is no such thing as free will.
