source_id,all summary
18dmb4,Aspartame contains 10 calories per teaspoon.
1d7lzf,There is a link between food dyes and allergies.
1hzz6y,There is no evidence that cancer is caused by DNA.
1i8cy7,The author has filed for bankruptcy.
1i8ljs,The NSA doesn't need a warrant to collect phone records.
1jvbd8,"If I remember correctly, the bomb has an 8-year lifespan."
1uniwn,The income tax rate for corporations is higher than for individuals.
1x8zke,There is no such thing as radiation.
22o24j,"The book ""On the Cost of Learning in War"" by David Grossman is a good source."
249p6c,"According to Snopes.com, microwaved water is harmful to plants."
25bvmb,Tobacco is bad for your heart and lungs.
31xv6u,A critical response to Creationist's video has been posted to Reddit.
3e7pye,There is a risk of radiation damage in banana plants.
3xqilx,He didn't start the fire.
443938194715713536,@sleepdoctorjoe @instapundit
46uw4y,"As far as I can see, there is no difference between the old and the young voters."
46yxoy,"The more you look, the more you find out."
498280126254428160,Michael was visiting his grandmother when he was murdered.
498293668655423488,Every 28 hours a black male is killed in the United States by police or vigilantes.
498430783699554305,Michael Skolnik asks why there are so many black people in the world.
498486826269548545,Pat wants to know what happened to the videos.
499366666300846081,Press is calling the police on Anonymous.
499368931367608320,Clydethesly is angry at Fox News.
499456140044824576,There was a man with a gun at the police station.
499530130487017472,A woman was shot in the head last night.
499612545909415938,@larryelder and @KLSouth are accusing each other of racism.
49l01s,The Queen doesn't want to leave the EU.
4c7iec,Sagan and Blackmore are not mutually exclusive.
4dfdvo,Fluoride is a neurotoxin.
4eo2zi,There is a lot of misinformation about the media.
4ycnf5,There is a map of Antarctica.
500258409988763649,The name of the police chief is being released today.
500270780832174080,"According to Reuters, Darren Wilson was shot and killed by the police."
500278045597368320,Mike Brown was shot by a police officer.
500279160795721728,@DanteB4u and @MsRock4Ever think the cop should have stopped the car.
500279189405433858,Edeweysmith believes that Mike Brown was framed by the police.
500280249629036544,CNN is fabricating a story about a robbery.
500280422295937024,Yamiche is a six-year veteran of the Ferguson Police.
500280838710247424,"According to Antonio French, Mike Brown was a suspect in a robbery."
500281094239817728,There's a story about a man being shot by police.
500281131057811456,@TheAnon and @Ryses_
500284699546517505,Zellie wants the police to release the video of the robbery.
500286058664579072,Mike looks like he was mugged.
500288349924782080,@TheAnon sent a picture of a man wearing flip flops.
500290456845299714,@YourAnonLive and @OpFerguson are accusing each other of theft.
500294803402137600,Michael Brown was robbed and shot by the police.
500295393301647360,Jesse shares a photo of what he saw on Twitter.
500298588992593920,Alices Peri is accusing Vicenews of racism.
500298752469770240,@140 and @Dostoevsky don't like what the police did to the kid.
500303431928922113,PrisonPlanet is angry with the police.
500307001629745152,The police are not releasing the facts about the shooting.
500308076004929537,@YourAnonLive and @hydroflame are accusing each other of racism.
500319675797209088,@originalgriz wants to know if there is a law against stealing in St. Louis.
500319801344929795,The Root and The Daily Beast are talking about Ferguson.
500327106824245249,BlackLady is angry with Darren.
500327120770301952,Zellie wants to know how many celebrities have been caught shoplifting.
500332933098385408,@kristinpuhl is a racist.
500341884678836224,The Daily Edge has a funny tweet.
500347114975944705,A man was robbed and shot by the police.
500354773133299713,Ferguson police beat a man for bleeding on them in 2009.
500363126294863876,There was a shooting in the street.
500363740311982081,Maxwell and Zerlina are angry at the police.
500371149713178625,Black is angry with the police.
500377145349521411,The little idiot is angry at the police.
500377906305327104,The police are investigating a report of vandalism.
500378223977721856,There was a robbery at the convenience store.
500378522788315137,The police shot and killed a man at the airport.
500381163866062848,@TPM is being sarcastic.
500389488217309184,Lisa is upset with the way the police handled the case.
500391222075076610,@andybankertv and @lilfer1234 think it was a robbery.
500394061887709184,@jelani9 and @kharyp think the cop should be punished for the crime.
500413818368184321,@TheDailyEdge wants to know if Ferguson is guilty or innocent.
521346721226711040,"Michael has contracted Ebola, according to Football.com."
521360486387175424,Michael has been diagnosed with Ebola.
524922729485848576,Henderburn posted a photo of a soldier on Twitter.
524923293711998976,A soldier has been shot in Ottawa.
524923462398513152,@cmaconthehill wants everyone to be safe.
524923676484177920,There is a shooting on Parliament Hill.
524924619812511746,@CBC needs to change the laws.
524925050739490816,A soldier was shot at the National War Memorial in Ottawa.
524925215235911680,Shots were fired at Parliament Hill.
524925730053181440,Shots were fired at Ottawa's War Memorial.
524925987239120897,There was a shooting at the National War Memorial.
524926235030589440,There's something wrong with the picture on the right.
524926472432410625,There's a fight going on in Parliament.
524927281048080385,@dmatthewmillar wants to know where the snipers are.
524929497205055488,Toronto's Parliament Hill is on lockdown.
524931324763992064,Mark is in Ottawa and wants to talk to someone.
524932056560963584,There is no such thing as free will.
524932935137628160,The gunman is still on the loose.
524935485370929152,@ummsalama and @rcallimachi are critical of the media.
524936793633083394,Mark Strahl is safe.
524936872666353664,Shots were fired off Parliament Hill.
524937542131793920,Rideau is on lockdown due to a shooting.
524940659778920448,There is a gunman on the loose.
524941132237910016,There's a fight going on inside the building.
524941720249978880,There was an exchange of gunfire in Parliament Hill.
524942470472548352,The distance from Ottawa to London is about 2 km.
524943490887991296,There was a shooting at Parliament Hill.
524944399890124801,There was a shooting at Parliament and a man was killed.
524947416869388288,There will be a third shooter.
524947674164760577,Dave Beninger is worried about the soldier in Ottawa.
524947867975561216,There was a shooting in Ottawa.
524948206023880704,A soldier has been shot at Ottawa's War Memorial.
524948866773184512,There's a video of a man being shot.
524949443607412737,There was a shooting at the Rideau Centre.
524952883343925249,There was a shooting inside Canada's parliament.
524956129017995264,Shots were fired at Ottawa's Parliament Hill.
524959809402331137,The shooter is dead and Ottawa is on lockdown.
524961721744900097,A Canadian soldier has been shot at Ottawa's War Memorial.
524962142563610625,A soldier was shot in Ottawa.
524964948683005952,Justin Trudeau is making Canada look bad.
524965775036387329,The real hero is the person who does his job.
524966904885428226,The Internet is a dangerous place.
524969201102901248,The sergeant-at-arms saved lives in Parliament Hill.
524970851675176960,There is a war on for the soul of humanity.
524972443308683264,A car was hit by a bomb in Canada.
524975705206304769,CBC has cancelled the hockey game between Ottawa and Vancouver.
524980744658382848,Police are looking for suspects in a car-jacking.
524981436252950528,The FBI is investigating a shooting in Ottawa.
524983581983375360,There was a shooting on Parliament Hill.
524990163446140928,There were three shootings in Ottawa today.
524991576163250176,There was a shooting in Ottawa.
524993533212897281,There is a problem with the Internet.
524995771587108864,Mike Savage is celebrating his birthday today.
525003468659228672,A photo of a soldier was taken before the shooting.
525019752507658240,ArmedResearch is looking for the source of the photo.
525023025792835585,Nathan was killed in action.
525025279803424768,Canoe sends condolences to the family of the fallen soldier.
525025463648137216,Cpl. Nathan is dead.
525028734991343617,It's OK to be armed and vigilant.
525032872647065600,@20committee wants to know where Z-B went.
525049639016615937,Mauler has passed away.
525056576038518785,A young man was shot and killed in Canada.
525058976376193024,I am angry at the way people are behaving.
525060425184858112,A man was shot and killed.
525068915068923904,There is no such thing as too much information.
529540733020405760,"Prince wants to go to the Museum, but it's too far away."
529653029747064832,@davidleyes is crying.
529654186791944192,Prince is going to perform in Toronto.
529660296080916480,Mike is going to play tennis with his friends.
529687410611728384,LaFlamme is going to a concert.
529689679411810304,Freekmane is at a concert.
529695367680761856,Prince is having a birthday party.
529695483661664257,@Stazie_15 is a fan of Prince.
529713467184676864,The show is sold out for Toronto.
529716453792956416,There is a fundraiser for my cousin who passed away.
529720273285566464,Prince will not be performing at Massey Hall tonight.
529739968470867968,Prince will not be playing tonight.
53czp3,Google makes a lot of money from YouTube.
544268732046913536,A siege is taking place at Sydney's.
544269749405097984,The situation in Martin Place is unfolding.
544271069146656768,KristyMayr7 claims that there is a hostage situation in Sydney.
544271284796784640,The Muslims are breaking the law.
544271362022338560,The Islamic flag was used in the attack.
544272537341812736,The Daily Mail has been banned by the Islamic State.
544274544174071809,@exjon wants to know if it's a good idea to torture people.
544274934835707905,BBC is broadcasting live from a cafe in Sydney.
544277117039837184,@liztilley wants to know if it's a good idea to give ISIS a platform.
544277860555710464,@KEEMSTARx is threatening to kill people.
544278335455776769,An Islamic flag was displayed in a cafe in Sydney.
544278985249550337,The app is not working on Myscott's phone.
544282005941530624,The New York Post has been attacked by Islamists.
544282227035869184,Gunmen took hostages at a cafe in Sydney.
544283772569788416,Siege in Sydney is taking place.
544287209730236416,The Sydney Opera House has been evacuated.
544288681021145090,Up to 20 people are being held hostage in Sydney's Lindt Cafe.
544289311504355328,Simon is responsible for this mess.
544289409294553088,Latikambourke wants to know why he's not on the list.
544289941996326912,Australian is not going to comment on the issue.
544290258951892992,Central Sydney has been shut down by police.
544291804057960448,TheAnon wants Sydney police to stop releasing photos.
544291965513134080,SharriMarkson has posted a picture of a man with a gun.
544292129972170752,"According to TheAnon, there is a group called ISIS."
544292670336925696,Anon wants to know if it's true.
544293753130082305,@Rundfunk is worried about the situation in Germany.
544294893146091520,There is a hostage situation in Sydney.
544297696308518912,FoxNews is covering the situation in Sydney.
544301453717041152,There is a security situation in Sydney.
544305540286148609,The DailyMail sent a picture of a man wearing a black headband to Twitter.
544305745416581120,Police stand guard in a cafe.
544306402731507712,It's time to start looking for work.
544306719686656000,Jon is worried about the situation in Egypt.
544309275141885952,There are about 50 hostages at the café.
544310853613281281,The Sydney cafe is under siege.
544314234541469696,Uber introduced surge pricing in Sydney during a siege.
544315472075042818,The US consulate in Sydney has been evacuated.
544319274072817664,Tomstein is worried about the situation in Hadley.
544319832486064128,A fight broke out in a cafe in Sydney.
544324444773433348,Uber has hiked prices in Sydney to encourage more drivers to come online.
544328894812549121,@RT_com is spreading a false story.
544329935943237632,Uber is charging more for rides in Sydney.
544333764814323713,@princekhattab and @majanahi don't want to read too much into it.
544350567183556608,The war on drugs is over.
544350712365207552,Sydney is getting safe.
544352727971954690,There's a war on for the lives of Muslims.
544358533819420672,Three hostages have escaped from a cafe in Sydney.
544358564484378624,The cause of the fire is not known.
544367462012432384,The hostages have escaped from the cafe.
544374511194632192,The number of hostages has risen.
544380742076088320,Carolinemarcus shares a photo of a girl with police.
544381485591982083,TroyBramston is angry with Channel Ten News.
544382892378714113,BuzzFeed shares a photo of a woman who looks like she's in pain.
544391176137089024,@cnni wants to know if there is a problem with ISIS in Australia.
544391533240516608,AJ has escaped from the cafe.
544399927045283840,BBC is reporting that hostages are being held in a cafe.
544462330105712640,Hadley is a suspect in the Sydney siege.
544476808566276097,@SkyNews and @niccijsmith don't know what to do.
544491151118860289,@PzFeed shares a funny tweet from him.
544504183341064192,@staronline wants to know what happened to the girl.
544510450101415936,Several hostages escaped from a cafe in Sydney.
544511199702822913,Sydney shares a link to a live stream.
544512108885725184,There was an explosion in Texas.
544512664769396736,Police are on the way to a crime scene.
544512676643500033,Sky News has a new video of a plane crash.
544512910538838016,There was a shooting in Sydney.
544513524438155264,Thanks to Rob for the link.
544514564407427072,The Daily Mail has been hacked.
544514570367168512,Fox News is showing a video of a hostage situation in Sydney.
544515538383564801,The man is accused of sexual assault. He is out on bail.
544517264054423552,The siege in Sydney is over.
544518335019229184,At least two people have died in Sydney.
544520042810200064,The conversation is over at @tims
544520273718812672,Angus and Angus are watching a shooting.
552783667052167168,There was a shooting in Paris.
552785375161499649,There is no such thing as free speech.
552788945017516032,@tnewtondunn and @mehdirhasan are against free speech.
552791196247269378,At least 11 people were killed in Paris.
552791578893619200,Eleven people were shot at the offices of the satirical magazine Charlie Hebdo in Paris.
552792544132997121,Chemayel and Raja are angry at Independent.
552792802309181440,11 people were killed in a shooting in Paris.
552792913910833152,At least 11 people were killed in Paris.
552793679082311680,Telegraph shares a photo of an attack on a journalist.
552802654641225728,There was a shooting in Paris.
552805488631758849,@cnnbrk and @hassanbasmer are angry about the attack on Charlie Hebdo.
552806309540528128,"Colvinius, LePoint and Suzanne are angry at Charlie and Colvinius."
552806757672964097,12 people were killed in a terrorist attack in Paris.
552810448324943872,@RT_com is angry about the situation in Syria.
552811386259386370,At least 12 people were shot in Paris.
552814494381256704,"Charlie, the editor-in-chief of Sputnik, was killed in an attack."
552816020403269632,There is no moral justification for their actions.
552821069036670976,HuffPost UK shares a cartoon about Charlie Hebdo.
552832817089236992,Police shot and killed a man wearing a hood.
552833028201144320,@RT_com wants to know why Muslims are killed in Syria.
552834961762709505,@Gargi and @RT_com want to know who is behind the attack on Muslims.
552848620375261184,"According to Slate, the gunmen were members of al-Qaida."
552978099357237248,The following is a video of the event.
552978184413921281,Juliamac gets it right.
552982613288157184,Banksy is a beautiful person.
552984502063337472,Hebdo has been attacked.
552996335319007233,Jefferson is angry with Mama4Obama and Mama4.
553107921081749504,There was an explosion in a restaurant.
553152395371630592,Lucille Clerc shares a cartoon about Charlie Bieber.
553160652567498752,"According to ABC, Kouachi is wanted in Paris."
553164985460068352,SkyNews reports that the suspects were trying to rob a petrol station.
553184482241814530,@juliamacfarlane and @dangillmor think that the police are not well-trained.
553197863971610624,The last person killed in Charlie's attack was a Muslim.
553212962044149761,Melissa wants to know when it's going to happen.
553221600955621376,@mattdpearce
553461741917863936,There is a video of Charlie being shot by BBC.
553467311261503488,Morris is one of them.
553470492565602305,It's too late to change the channel.
553474188259102720,"The attackers are French, according to NBC News."
553476490315431937,There was a fight and some people were hurt.
553476880339599360,The following files are available to download.
553478289474740224,France is fighting terrorism in the name of Islam.
553480082996879360,There was a shootout in Paris.
553486439129038848,The police are searching for the suspects in Charlie's attack.
553489393202499584,Time is sending messages to the girls.
553501357156876290,The BBC broke the news.
553503184174710784,@RT_com wants to kill the suspects.
553505242554175489,@cnni wants to talk to the police.
553506608203169792,BBC broke a story about a car chase.
553508098825261056,The terrorists want to be killed.
553512735192141826,There was no mention of it on Sky News.
553518472798683136,The suspects are holed up in the north of Paris.
553531413459660800,There was a shooting at a gas station.
553534838880608256,There was a hostage situation in Paris.
553535829017370625,There are at least five hostages in Paris.
553538058440941568,Shots were fired at a kosher market in Paris. Several people were injured.
553543369604210689,Middleton is upset about the fact that there are no children at the supermarket.
553544252563935234,At least two people have been killed in Paris.
553544694765215745,There was a shooting in Montrouge.
553548567420628992,There is a link between the two incidents.
553549686129561600,There is a hostage situation in a kosher store in Paris.
553550301886955520,Six people were taken hostage in a supermarket in Paris.
553553288625672192,Paris is on lockdown after a terrorist attack.
553558982476828674,Leibovich is talking to Channel 2 News.
553561170637238272,All shops in the famed Jewish neighborhood in central Paris are closed as a precaution.
553566026030272512,@ABC has been on for 4 hours.
553575232867672064,The AP reports that a terrorist attack took place in Paris.
553576010898497536,Gunman threatens to kill hostages in Paris if they are harmed.
553579224402235393,@cnni and @DAVIDMDRAIMAN are angry with the police.
553586860334010368,Burley got some good news.
553586897168392192,France24 reports that both suspects were killed by police.
553587013409325058,Charlie is safe after the police assault.
553587303172833280,Police are taking people out of the Paris grocery.
553587672137334785,Charlie has been shot and killed by unknown gunmen.
553588178687655936,The suspects were killed by the police.
553589051044151296,Several hostages were freed at the Jewish supermarket in Paris.
553590459688570880,Several hostages were freed from a Jewish supermarket in Paris.
553590835850514433,A hostage-taker was killed in a supermarket attack in Paris.
576276947648405505,There is talk of a coup d'etat in Russia.
576319832800555008,@russian_market wants to know if Putin is a reliable source of information.
576323086888361984,Daniel shares a link to a BBC article.
576513463738109954,@MailOnline is having a bad day.
576755174531862529,@irishspy is on Twitter.
576796432730071040,Shauny shares a link to a video on Twitter.
576812998418939904,Scofield@gmail.com
576829262927413248,Coalson asks for help on Twitter.
577258317942149120,There's a war going on in the world.
580319078155468800,Germanwings crashed in the Alps near Digne.
580319184652890113,There were 148 people on board the plane that crashed in the Alps.
580320684305416192,The following files are available under the CC-BY-SA-3.
580321156508577792,There are four people on the plane.
580322453928431617,There is no such thing as a free lunch.
580323060533764097,(http://www.washingtonpost.com/
580324027715063808,"A plane crashed in southern France, killing all on board."
580325090367315968,@flightradar24 and @isobelroe don't know why the plane is going so high.
580326222107951104,Ulrich wants to know if it was a terrorist attack.
580331561398108160,There is no such thing as an urgent call in French.
580332109782466561,Smolik's plane has crashed.
580333763512705025,There was a plane crash in the Alps.
580333909008871424,There are no survivors from the plane crash.
580339547269144576,Pilots called 911 on Mashable's request.
580339825649291264,A plane carrying 148 people crashed in French Alps.
580340476949086208,There was a plane crash. There were 144 people on board.
580348081100734464,King Felipe VI cancels state visit to France after the Germanwings crash.
580352273001410560,The emergency call was sent from the cockpit.
580360165540642816,Richelle is on Twitter.
580371845997682688,There was a problem with an air conditioner.
580882341880446977,It's not a good idea to kill yourself.
581047170637381632,@henkvaness is on Facebook.
581063377226637312,There is no such thing as too much information.
581153923987206146,@FoxNews and @Eddie are shocked by the suicide of a man.
581290271997968384,Noah Wehrman and Gebhard Pundit are talking about a plane crash.
581293286268129280,Naarai is a Muslim.
581359544682614784,"According to Reuters, a German pilot committed suicide."
581386094337474560,@USATODAY sends a link to his Twitter account.
581473088249958400,@jjauthor and @gatewaypundit are making fun of Islam.
5938df,The number of people killed in Vietnam has increased by 50%.
5l23au,Hillary lost the election. She will be prosecuted.
5mkmg1,There is a lot of misinformation in the article.
5qzxep,The batteries in smartphones don't last very long.
5tk0zx,There is a video about the war on Iraq.
5vvv51,There are no regulations regarding the reporting of news in Denmark.
5yp0yt,I have a kettle but I don't need it.
63uefi,Dick Cheney made a lot of money while in office.
644j1f,"No, it's not true."
66yxyf,There is no such thing as a volcano.
6a4cji,There are two episodes left in the series.
6hb6b3,There is no proof that the earth is flat.
6jk9iq,It's not always easy to change one's mind.
6m1mwg,It depends on how much you're willing to sacrifice.
6o9ozz,The ratio of the mass to the distance between Earth and the moon is 90%.
6rimvf,The ratio of men to women is in the 50-50 range.
758159624122097664,@sampepper and @Kane_
763098277986209792,Natupe is upset with the way she was treated.
764927075522260992,Alex wants to talk to Infowars.
767725956706414592,@brianstelter is spreading lies.
768859780240773121,Asamjulian is not happy with Hillary's car.
769988636754505729,PrisonPlanet wants to know how long it will take her to get out of prison.
