source_id,tweet_id,cluster_id,is_centroid
18dmb4,c8e0wj3,0_0,1
18dmb4,c8e3hu9,0_0,0
18dmb4,c8e0wj3,0_1,0
18dmb4,c8e3hu9,0_1,1
18dmb4,c8duzth,1,0
18dmb4,c8e0jxh,1,0
18dmb4,c99tl5r,1,1
18dmb4,c8du4n0,2,0
18dmb4,c8duhn4,2,0
18dmb4,c8e0ls2,2,1
18dmb4,c8e0t4f,2,0
18dmb4,c8e2l5p,2,0
1d7lzf,c9nu7oo,0,1
1d7lzf,c9nxdwv,0,0
1d7lzf,c9nxfnz,0,0
1d7lzf,c9nxhfi,0,0
1d7lzf,c9nzmif,0,0
1d7lzf,c9o82ke,0,0
1d7lzf,c9o8xe4,0,0
1d7lzf,c9o8yuo,0,0
1d7lzf,caacp6f,0,0
1d7lzf,c9nxdmq,1_0,1
1d7lzf,c9oi2sx,1_0,0
1d7lzf,c9nxdmq,1_1,0
1d7lzf,c9oi2sx,1_1,1
1d7lzf,c9nxjy1,2,0
1d7lzf,c9nxo9o,2,1
1d7lzf,c9nxp8p,2,0
1d7lzf,c9nxu4i,2,0
1d7lzf,c9nxufe,2,0
1hzz6y,cazysa8,0,1
1hzz6y,cazm2vr,1,1
1hzz6y,cazmy8a,1,0
1hzz6y,cazpdck,1,0
1hzz6y,cazua35,1,0
1hzz6y,cb4scxg,1,0
1hzz6y,cazwd0d,2,0
1hzz6y,cb076yo,2,0
1hzz6y,cb077w8,2,1
1hzz6y,cb0swyh,2,0
1i8cy7,cb26cgl,0,1
1i8cy7,cb262pc,1,1
1i8cy7,cb26ebj,1,0
1i8cy7,cb2k00a,2,1
1i8ljs,cb21bg7,0,0
1i8ljs,cb21gsv,0,0
1i8ljs,cb21n25,0,0
1i8ljs,cb21xxi,0,0
1i8ljs,cb23ki4,0,1
1i8ljs,cb2i98n,0,0
1i8ljs,cb21t3d,1,1
1i8ljs,cb20vgy,2,0
1i8ljs,cb21ppi,2,0
1i8ljs,cb2h0ti,2,1
1jvbd8,cbiwlli,0,1
1jvbd8,cbkixew,1,1
