source_id,cluster_id,tweet_ids,centroid
18dmb4,0,"c8e0ls2,c99tl5r,c8e0t4f,c8e0jxh",c8e0ls2
18dmb4,1,"c8du4n0,c8duhn4,c8e0t4f,c8e0wj3",c8e0wj3
18dmb4,2,"c8e0jxh,c8e0ls2,c8e0wj3,c99tl5r",c8e0ls2
1d7lzf,0,"c9oi2sx,c9o82ke,c9nxdmq,c9nxufe,caacp6f,c9o8xe4",c9nxdmq
1d7lzf,1,"c9nxdwv,c9nxp8p,c9nxu4i,c9nxo9o,c9nu7oo,c9nxfnz",c9nxfnz
1d7lzf,2,"c9nxdwv,c9nxu4i,c9nxjy1,c9nxfnz,c9nxp8p,c9nu7oo",c9nxfnz
1hzz6y,0,"cb077w8,cazpdck,cazmy8a,cb4scxg",cb077w8
1hzz6y,1,"cazwd0d,cb0swyh,cb077w8,cb4scxg",cb077w8
1hzz6y,2,"cazwd0d,cazysa8,cb076yo,cazm2vr",cazm2vr
1i8cy7,0,"cb2k00a,cb26ebj",cb2k00a
1i8cy7,1,"cb262pc,cb26cgl",cb262pc
1i8cy7,2,"cb2k00a,cb26ebj",cb2k00a
1i8ljs,0,"cb21gsv,cb21t3d,cb21n25,cb20vgy",cb21gsv
1i8ljs,1,"cb21ppi,cb2h0ti,cb2i98n,cb21xxi",cb21ppi
1i8ljs,2,"cb21gsv,cb21n25,cb21t3d,cb21bg7",cb21gsv
1jvbd8,0,"cbj4pcw,cbiwlli",cbj4pcw
1jvbd8,1,"cbiwlli,cbkixew",cbkixew
1jvbd8,2,"cbj4pcw,cbkixew",cbkixew
1uniwn,0,"cejw3pk,cejwglx,cejwezr",cejw3pk
1uniwn,1,"cejz2c3,cejwl8d,cekj113",cejz2c3
1uniwn,2,"cekioas,cejwl8d,cek4pgt",cekioas
1x8zke,0,"cf99p9d,cf9gbuv",cf9gbuv
1x8zke,1,"cf9kwmb,cf9gbuv",cf9gbuv
1x8zke,2,"cf9ah9w,cf9kwmb",cf9kwmb
22o24j,0,"cgoqnte,cgoqyvd,cgor75s,cgor04o,cgor65b,cgp478v,cgow0ij,cgoscv6,cgoqxdm,cgot99h,cgoqy36,cgpkrlb,cgosp65,cgosszh,cgozga2",cgosszh
22o24j,1,"cgp1rob,cgoquk9,cgoq6kj,cgp32yi,cgor75s,cgp478v,cgow0ij,cgoscv6,cgor65b,cgor04o,cgoqxdm,cgozxp9,cgoq9oi,cgovloe,cgplad0",cgoquk9
22o24j,2,"cgpkrlb,cgovgf9,cgoqyvd,cgot5x3,cgoqnte,cgotds9,cgoqevd,cgoq924,cgot99h,cgp508i,cgpkpmc,cgov9rv,cgpldfl,cgplad0,cgoqmf6",cgplad0
249p6c,0,"ch5brrj,ch4z41h,ch53b25",ch4z41h
249p6c,1,"ch5s4u8,ch54bqn,ch536ga",ch5s4u8
249p6c,2,"ch5brrj,ch4z41h,ch4ywru",ch4z41h
25bvmb,0,"chft89x,chfogbk",chft89x
25bvmb,1,"chg8wcc,cjhi6z6",chg8wcc
25bvmb,2,"chyolw3,chp0iil",chp0iil
31xv6u,0,"cq9capm,cqa0rkx,cq6b775,cq6dipq,cq6s9ur,cq9mbsa",cq6s9ur
31xv6u,1,"cqjckbb,cqk0i0a,cq6do3d,cq674h2,cq9capm,cq6fj7f",cqk0i0a
31xv6u,2,"cq6fc1u,cq6fj7f,cq64vk3,cq6e5b4,cqjckbb,cqk0i0a",cqjckbb
3e7pye,0,"ctdcsfx,ctc9isb,ctccgyh",ctccgyh
