source_id,support summary,deny summary,query summary,comment summary
18dmb4,,,,Aspartame contains 10 calories per teaspoon.
1d7lzf,,,,There is a link between red dye and allergies.
1hzz6y,,,There is no cure for cancer.,There's a lot of information in the article.
1i8cy7,,,,The author has filed for bankruptcy.
1i8ljs,,There is no personal information on this page.,They are looking for someone who isn't a member of the media.,There is no need for a warrant to get a person's phone records.
1jvbd8,,,,"If I remember correctly, the bomb has an 8-year lifespan."
1uniwn,,They didn't do anything wrong.,There is no such thing as free will.,The income tax rate in the US is higher than in other countries.
1x8zke,There is no such thing as too much information.,,,There is a problem with the use of nuclear weapons.
22o24j,The link is not working properly.,"The title of the book is ""The Cost of Learning"" by David Grossman.",The names of the soldiers killed are as follows.,There's a lot of misunderstandings about the nature of artillery.
249p6c,,The problem with microwaves is that they don't work.,The results were not what she wanted.,There is a lot of information about proteins in the internet.
25bvmb,Caffeine is bad for you.,,,Tobacco is bad for your health.
31xv6u,I haven't seen his videos yet.,I don't have the energy.,,A critical response to Creationist's video has been posted to Reddit.
3e7pye,It can be caused by any number of things.,,,There is a risk of radiation in the area.
3xqilx,,,,He didn't start the fire.
443938194715713536,,,Johannes is from Germany.,@sleepdoctorjoe @instapundit
46uw4y,The following files are available to download.,The number of young people should not be as big as it is now.,There is no such thing as too much information.,"As far as I can see, there is no change in the voting habits of young people."
46yxoy,,"The more you see, the merrier.",How would you get the money back?,It's a way to make money.
498280126254428160,Mike is staying with his grandmother.,,,Skolnik was visiting his family when he was murdered.
498293668655423488,Every 28 hours a black male is killed by police in the United States.,,Skolnik wants to know how many people are killed every year by police in the US.,Every 28 hours a black male is killed by police in the United States.
498430783699554305,Michael is angry at the police.,,,Michael Skolnik is angry at the President of the United States.
498486826269548545,"On Twitter, she's @Nikki.",Pat wants to know if there's anything she can do about it.,Pat is on Twitter @errollou.,Pat has sent a video to Antonio.
499366666300846081,,There is no such thing as too much information.,What is this photo from last night?,Press is calling the police to break up the protest.
499368931367608320,@clydethesly wants to know if there's any news about Iraq.,The author is a freelance journalist.,There are too many people on Twitter.,Clydethesly is angry at the police.
499456140044824576,,,The interview is available on YouTube.,There was a man who pointed a gun at Valerie.
499530130487017472,A woman was shot in the head.,,The following files are available to download.,A woman was shot in the head.
499612545909415938,There's a fight happening in Chicago.,@larryelder doesn't believe that was his point.,The investigation is still ongoing.,@larryelder and @KLSouth are talking about black people being killed by police.
49l01s,,ROBERT J. JOHNSON,,The Queen has been accused of being anti-European.
4c7iec,,,They are not mutually exclusive.,There is a conflict between science and art.
4dfdvo,,There is no cure for cancer.,,Fluoride is a neurotoxin.
4eo2zi,That's true for most people.,,There is no such thing as too much information.,There are problems with the consolidation of radio stations.
4ycnf5,,,,There is a map of Antarctica.
500258409988763649,The results are expected to be announced soon.,,"On Twitter, @USATODAY",@USATODAY is the worst interview I have ever seen.
500270780832174080,The man who shot and killed Michael Jackson is dead.,,The writer is a freelance journalist.,"According to Reuters, there will be no more black people in the US."
500278045597368320,Mike is the police officer who shot and killed Darren.,,There is no such thing as too much information.,Mike Brown was wrong and he should get the death penalty.
500279160795721728,The police didn't stop him.,,@DanteB4u wants to know why the police didn't stop the robbery.,@DanteB4u and @MsRock4Ever think the cop was trying to pull Mike Brown through the window.
500279189405433858,The video is available on YouTube.,There's a lot to see here.,,Edeweysmith tweets about the arrest of Mike Brown.
500280249629036544,,,There is a video of a man being robbed.,CNN is fabricating a story about a police shooting.
500280422295937024,There is no such thing as a free lunch.,,There was a struggle in the car.,Yamiche is a six-year veteran of the Ferguson Police.
500280838710247424,Mike Brown is a suspect in a robbery.,There is no such thing as good intentions.,"According to Antonio, the suspect is a black man.","According to Antonio, the suspect in the shooting was armed."
500281094239817728,,There is no such thing as too much information.,They let the other one go.,It's a story that continues to be told.
500281131057811456,The kid was wearing a lot of clothes.,Anon wants to know if this is true.,The manager of the store has died.,@TheAnon and @Ryses_Pyses want to know why the police didn't arrest him.
500284699546517505,Zellie wants to know why the police release the video.,There is no evidence of a crime.,The video was taken from one of the witnesses.,Zellie is wearing tennis shoes.
500286058664579072,The man is on his hands and knees.,@mashable has posted a picture of a man with his face covered.,Mike Brown is wearing a red hat.,@mashable and @zadiaz are accusing each other of racism.
500288349924782080,Anon is wearing flip flops.,Anon shares his views on politics.,,Mike Brown is wearing the wrong clothes.
500290456845299714,It's been a long time since I last tweeted.,Jill is a freelance journalist.,@Gdurham has sent me a link to a video.,@YourAnonLive and @OpFerguson are accusing each other of theft.
500294803402137600,There is no such thing as free will.,There is much more to this story.,There is no way to know if this is true.,"According to NBC News, Michael Brown was robbed in Ferguson."
500295393301647360,,,Jesse shares a photo of what he is wearing.,There is a person who makes his living asking questions.
500298588992593920,,,There is no such thing as a peace sign.,Alices Peri is accusing Vicenews of racism.
500298752469770240,Dostoevsky died of a heart attack.,@AkaDimiX doesn't want to talk about politics.,Dostoevsky@gmail.com,@140 and @Dostoevsky don't like what the police did to the kid.
500303431928922113,Prison is a place where people can be tortured.,A new law has been passed.,It's raining cats and dogs.,There was a riot in prison.
500307001629745152,There was a struggle inside the car.,"Tom, Flavius and Jelpauk don't know what to do.",He was shot in the chest by the police.,The police are not releasing the facts about the shooting.
500308076004929537,,There is no excuse for murder.,Anon wants to know if it's better to be nice or aggressive.,@YourAnonLive and @hydroflame are accusing each other of racism.
500319675797209088,There's a fight going on in the street.,The rules are all well and good.,There is no law against using force.,There will be no one left in the room.
500319801344929795,The Root shares an article from The Daily Beast.,There is no such thing as a perfect day.,,The Root is against police brutality.
500327106824245249,,,,BlackLady is angry with Darren.
500327120770301952,There are many ways to die.,There is no such thing as too much information.,,Zellie wants to know how many people have been caught shoplifting.
500332933098385408,It's a bitch of a day.,There is no excuse for attacking people.,,There is no such thing as an excuse for racism.
500341884678836224,Theresa is a freelance journalist.,There is no proof he did that.,,The DailyEdge is on Instagram.
500347114975944705,The man in the video looks like he was robbed.,There is no evidence of a crime.,There is no reason to accuse him of a crime.,A black man was shot by a policeman.
500354773133299713,The police are looking for a suspect.,,,Ferguson police beat a man for bleeding on them in 2009.
500363126294863876,Wonka is not a suspect.,Wonka has been attacked.,,There was a shooting in the street.
500363740311982081,Maxwell wants to know what he needs to do.,Maxwell is a writer and musician.,There's a lot to talk about.,Maxwell and Zerlina are angry at each other.
500371149713178625,There are no winners in a fight.,Black is angry at the police.,There are people who don't care about others.,Angry Lady and Black Lady are angry at each other.
500377145349521411,There's nothing to be said about that.,A young man might get shot.,,@thelittleidiot is right.
500377906305327104,There is an error in the text.,Sebastian is the author.,Theresa is looking for a job.,@Soul is angry at the police.
500378223977721856,There was a time when smoking was considered a crime.,Roland has a problem with his phone.,It's not clear if it's a good idea.,There was a robbery at the shop.
500378522788315137,There's a problem with the police.,It's not about that. It's about what happened.,There is nothing to do but watch Netflix.,There was a shooting at the airport.
500381163866062848,The police are looking for a suspect.,There's a lot of work to be done.,"It's not a joke, it's true.",Azmat shares a funny tweet.
500389488217309184,Lisa got a call from the police.,There's nothing to be afraid of.,Lisa wants to know why the police released the video.,Lisa is angry with the way the police handled the case.
500391222075076610,The words have never been spoken before.,Sebastian is a freelance journalist.,@andybankertv and @lilfer1234 want to know why the store owner admitted to the crime.,"According to Andy Bankert, a man took off his clothes in the video."
